name,mass,x-velocity,y-velocity,x-position,y-position
Sun,1988400 * 10**24,-15.586210333625814,0,0,-1382462440,1
Mercury,(0.3301*10**24),47360,0,0,(57.909*10**9),1
Venus,4.8673*10**24,35020,0,0,108.210*10**9,1
Earth,(5.9722 * 10 ** 24),29780,0,0,(149.598 * 10**9),1
Moon,0.07346*10**24,29780+1022,0,0,(149.598 * 10**9) + (0.3844*10**9),1
Mars,0.64169*10**24,24080,0,0,227.956*10**9,1
Jupiter,1898.13*10**24,13060,0,0,778.479*10**9,1
Saturn,568.32*10**24,9670,0,0,1432.041*10**9,1
Uranus,86.811*10**24,6790,0,0,2867.043*10**9,1
Neptune,102.409*10**24,5450,0,0,4514.953*10**9,1
